,Municipio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
28,Santorcaz,1/29/2024,57.0,°F,47.3,°F,40.1,°F,44.8,°F,40.5,°F,37.0,°F,91,%,78,%,58,%,4.3,mph,0.3,mph,0.0,mph,30.27,in,30.19,in,0.00,in
29,Santorcaz,1/30/2024,58.8,°F,45.2,°F,36.3,°F,45.7,°F,40.2,°F,35.6,°F,98,%,84,%,50,%,5.6,mph,0.4,mph,0.0,mph,30.34,in,30.25,in,0.00,in
30,Santorcaz,1/31/2024,59.4,°F,44.9,°F,34.2,°F,46.8,°F,36.8,°F,27.7,°F,98,%,76,%,41,%,10.3,mph,0.9,mph,0.0,mph,30.39,in,30.31,in,0.01,in
31,Santorcaz,2/1/2024,61.7,°F,49.3,°F,37.8,°F,39.4,°F,34.4,°F,29.5,°F,78,%,58,%,34,%,12.1,mph,2.2,mph,0.0,mph,30.42,in,30.33,in,0.00,in
32,Santorcaz,2/2/2024,58.3,°F,49.4,°F,40.6,°F,43.3,°F,33.8,°F,22.6,°F,87,%,56,%,36,%,7.6,mph,1.1,mph,0.0,mph,30.35,in,30.26,in,0.00,in
33,Santorcaz,2/3/2024,58.6,°F,45.7,°F,34.3,°F,41.9,°F,35.0,°F,28.2,°F,95,%,69,%,34,%,5.8,mph,0.5,mph,0.0,mph,30.33,in,30.28,in,0.00,in
34,Santorcaz,2/4/2024,62.6,°F,47.7,°F,35.2,°F,37.6,°F,29.1,°F,1.6,°F,76,%,51,%,9,%,6.7,mph,0.7,mph,0.0,mph,30.33,in,30.26,in,0.00,in
35,Santorcaz,2/5/2024,58.3,°F,47.0,°F,36.7,°F,38.8,°F,33.4,°F,26.8,°F,78,%,60,%,31,%,5.8,mph,0.4,mph,0.0,mph,30.30,in,30.18,in,0.00,in
36,Santorcaz,2/6/2024,57.7,°F,47.5,°F,39.2,°F,42.1,°F,35.9,°F,29.5,°F,79,%,65,%,47,%,8.5,mph,0.8,mph,0.0,mph,30.19,in,30.09,in,0.00,in
37,Santorcaz,2/7/2024,52.3,°F,42.5,°F,36.1,°F,42.8,°F,36.3,°F,30.2,°F,98,%,80,%,54,%,9.0,mph,0.7,mph,0.0,mph,30.13,in,29.98,in,0.00,in
38,Santorcaz,2/8/2024,44.1,°F,40.9,°F,37.6,°F,42.6,°F,39.8,°F,37.2,°F,99,%,96,%,82,%,15.4,mph,3.2,mph,0.0,mph,29.98,in,29.50,in,0.22,in
39,Santorcaz,2/9/2024,45.5,°F,42.4,°F,39.0,°F,45.1,°F,42.1,°F,38.7,°F,99,%,99,%,97,%,11.2,mph,2.3,mph,0.0,mph,29.51,in,29.11,in,0.93,in
40,Santorcaz,2/10/2024,42.1,°F,37.5,°F,33.6,°F,39.2,°F,34.2,°F,28.8,°F,99,%,88,%,78,%,14.1,mph,3.2,mph,0.0,mph,29.59,in,29.15,in,0.61,in
41,Santorcaz,2/11/2024,42.6,°F,37.0,°F,33.4,°F,37.2,°F,32.6,°F,28.0,°F,99,%,84,%,69,%,12.3,mph,2.5,mph,0.0,mph,29.73,in,29.59,in,0.04,in
42,Santorcaz,2/12/2024,55.9,°F,46.3,°F,35.8,°F,44.6,°F,40.3,°F,35.4,°F,99,%,81,%,56,%,15.9,mph,2.7,mph,0.0,mph,30.01,in,29.64,in,0.30,in
43,Santorcaz,2/13/2024,51.6,°F,48.2,°F,45.5,°F,49.8,°F,45.6,°F,38.1,°F,99,%,91,%,71,%,5.1,mph,0.5,mph,0.0,mph,30.16,in,29.98,in,0.10,in
44,Santorcaz,2/14/2024,58.1,°F,48.6,°F,42.1,°F,52.9,°F,47.1,°F,41.7,°F,99,%,95,%,80,%,3.4,mph,0.3,mph,0.0,mph,30.17,in,30.04,in,0.01,in
45,Santorcaz,2/15/2024,57.6,°F,49.2,°F,45.3,°F,51.8,°F,47.4,°F,40.8,°F,99,%,94,%,74,%,16.3,mph,2.4,mph,0.0,mph,30.05,in,29.87,in,0.16,in
46,Santorcaz,2/16/2024,51.4,°F,45.2,°F,41.0,°F,43.3,°F,39.7,°F,35.6,°F,96,%,82,%,58,%,14.1,mph,2.6,mph,0.0,mph,30.20,in,29.92,in,0.01,in
47,Santorcaz,2/17/2024,55.9,°F,45.8,°F,37.6,°F,39.6,°F,32.5,°F,20.1,°F,84,%,62,%,27,%,13.7,mph,3.3,mph,0.0,mph,30.36,in,30.19,in,0.00,in
48,Santorcaz,2/18/2024,61.0,°F,48.8,°F,36.3,°F,41.7,°F,33.0,°F,20.8,°F,78,%,56,%,31,%,11.6,mph,2.6,mph,0.0,mph,30.40,in,30.34,in,0.00,in
49,Santorcaz,2/19/2024,59.5,°F,51.1,°F,41.7,°F,44.8,°F,40.3,°F,31.5,°F,83,%,68,%,43,%,16.1,mph,3.7,mph,0.0,mph,30.39,in,30.28,in,0.00,in
50,Santorcaz,2/20/2024,65.7,°F,51.0,°F,38.8,°F,35.1,°F,26.8,°F,9.7,°F,75,%,42,%,13,%,12.3,mph,1.6,mph,0.0,mph,30.32,in,30.22,in,0.00,in
51,Santorcaz,2/21/2024,61.7,°F,49.3,°F,38.1,°F,39.6,°F,24.6,°F,5.5,°F,73,%,39,%,17,%,7.6,mph,0.6,mph,0.0,mph,30.25,in,30.05,in,0.00,in
52,Santorcaz,2/22/2024,57.4,°F,45.7,°F,36.3,°F,49.1,°F,39.8,°F,31.3,°F,99,%,81,%,47,%,18.1,mph,2.0,mph,0.0,mph,30.06,in,29.67,in,0.22,in
53,Santorcaz,2/23/2024,44.4,°F,36.8,°F,32.9,°F,35.4,°F,30.6,°F,27.3,°F,92,%,79,%,61,%,12.8,mph,3.6,mph,0.0,mph,29.75,in,29.64,in,0.07,in
54,Santorcaz,2/24/2024,44.4,°F,37.0,°F,32.4,°F,34.0,°F,30.6,°F,27.9,°F,89,%,78,%,60,%,12.8,mph,2.5,mph,0.0,mph,29.86,in,29.63,in,0.07,in
55,Santorcaz,2/25/2024,55.0,°F,46.7,°F,37.2,°F,44.6,°F,40.5,°F,33.1,°F,95,%,80,%,61,%,14.8,mph,3.1,mph,0.0,mph,29.85,in,29.55,in,0.30,in
56,Santorcaz,2/26/2024,45.0,°F,38.7,°F,33.3,°F,37.6,°F,34.0,°F,28.8,°F,93,%,84,%,61,%,19.0,mph,4.3,mph,0.0,mph,29.73,in,29.51,in,0.27,in
57,Santorcaz,2/27/2024,40.6,°F,34.6,°F,30.9,°F,32.0,°F,28.2,°F,25.9,°F,86,%,78,%,66,%,30.0,mph,10.8,mph,0.2,mph,29.99,in,29.70,in,0.02,in
58,Santorcaz,2/28/2024,46.8,°F,38.7,°F,32.7,°F,38.3,°F,32.5,°F,26.6,°F,87,%,79,%,68,%,27.7,mph,7.7,mph,0.0,mph,30.07,in,29.91,in,0.00,in
59,Santorcaz,2/29/2024,52.9,°F,41.8,°F,32.4,°F,41.4,°F,34.3,°F,25.7,°F,89,%,75,%,58,%,15.4,mph,2.7,mph,0.0,mph,30.03,in,29.82,in,0.06,in
60,Santorcaz,3/1/2024,48.7,°F,38.5,°F,28.4,°F,37.0,°F,30.1,°F,22.8,°F,83,%,72,%,56,%,17.5,mph,2.5,mph,0.0,mph,29.95,in,29.76,in,0.03,in
61,Santorcaz,3/2/2024,42.8,°F,37.3,°F,30.9,°F,39.7,°F,34.6,°F,29.7,°F,98,%,90,%,74,%,15.0,mph,2.4,mph,0.0,mph,29.77,in,29.36,in,0.17,in
62,Santorcaz,3/3/2024,42.1,°F,34.2,°F,28.2,°F,34.7,°F,30.5,°F,25.3,°F,97,%,87,%,69,%,8.5,mph,2.6,mph,0.0,mph,29.84,in,29.51,in,0.15,in
63,Santorcaz,3/4/2024,53.6,°F,41.6,°F,36.5,°F,43.5,°F,37.3,°F,30.2,°F,99,%,86,%,57,%,7.6,mph,1.0,mph,0.0,mph,29.98,in,29.83,in,0.10,in
64,Santorcaz,3/5/2024,51.1,°F,40.9,°F,33.3,°F,35.4,°F,31.9,°F,29.5,°F,86,%,71,%,45,%,9.8,mph,1.5,mph,0.0,mph,30.08,in,29.97,in,0.00,in
65,Santorcaz,3/6/2024,51.4,°F,40.0,°F,27.9,°F,39.4,°F,32.2,°F,25.3,°F,92,%,75,%,54,%,11.9,mph,1.5,mph,0.0,mph,30.06,in,29.85,in,0.00,in
66,Santorcaz,3/7/2024,47.1,°F,39.6,°F,34.5,°F,40.3,°F,35.3,°F,30.6,°F,99,%,85,%,70,%,19.2,mph,4.3,mph,0.0,mph,29.86,in,29.54,in,0.37,in
67,Santorcaz,3/8/2024,48.4,°F,36.4,°F,31.6,°F,38.5,°F,33.5,°F,30.7,°F,99,%,91,%,54,%,17.5,mph,3.8,mph,0.0,mph,29.57,in,29.39,in,0.46,in
68,Santorcaz,3/9/2024,46.6,°F,36.9,°F,32.0,°F,38.1,°F,33.8,°F,26.6,°F,99,%,90,%,48,%,16.8,mph,3.0,mph,0.0,mph,29.39,in,29.21,in,0.17,in
69,Santorcaz,3/10/2024,47.7,°F,38.6,°F,32.2,°F,41.0,°F,35.6,°F,31.5,°F,99,%,89,%,73,%,11.6,mph,2.6,mph,0.0,mph,29.71,in,29.30,in,0.20,in
